Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Filip Daems,Borussia M.Gladbach,40,D(L),16(3),1494,-,0.3,32.8,83.5,0.4,1.4,-,6.84
Diego Contento,Bayern Munich,29,D(L),4(1),380,-,0.6,38.6,82.4,0.4,2.8,-,6.84
Edgar Prib,Greuther Fuerth,29,"D(L),M(CL)",25(2),2290,5,1.1,29.3,77,0.6,2.5,-,6.84
Dennis Aogo,Hamburger SV,32,"D(L),M(CL)",22(5),1963,4,1.1,36.8,85.7,1,2,0.1,6.84
Andreas Ivanschitz,Mainz 05,35,AM(CL),29(2),2301,5,1.5,23.2,76.1,1.1,1,0.1,6.84
Vedad Ibisevic,VfB Stuttgart,34,FW,30,2665,3,1,19.7,65,-,1.1,0.1,6.84
Leonardo Bittencourt,Borussia Dortmund,25,AM(CLR),2(3),221,1,0.4,17.2,81.4,0.4,1.4,-,6.84
Per Skjelbred,Hamburger SV,32,M(CR),15(3),1182,-,1.1,31.5,82.5,0.1,1.4,0.1,6.84
Konstantin Rausch,Hannover 96,29,"D(L),M(L)",25(5),2340,3,0.6,29.6,76.5,0.5,1.7,-,6.83
Granit Xhaka,Borussia M.Gladbach,26,M(C),15(7),1484,-,0.6,39.2,81.2,0.2,2.8,0.1,6.83
Marco Höger,Schalke 04,29,"D(CR),M(C)",15(7),1383,2,0.4,37.3,79.9,0.1,1.5,0.1,6.83
Kevin Großkreutz,Borussia Dortmund,30,"D(LR),M(CLR)",19(10),1762,4,0.5,23.4,81.4,0.4,0.9,-,6.83
Luuk de Jong,Borussia M.Gladbach,28,"AM(C),FW",17(6),1424,2,0.8,22.4,72.9,-,0.3,-,6.83
Kevin Trapp,Eintracht Frankfurt,28,GK,26,2340,-,-,31.3,59.1,-,10,-,6.83
René Adler,Hamburger SV,34,GK,32,2880,-,-,36.3,57.7,-,11.5,-,6.83
Sejad Salihovic,Hoffenheim,34,"D(L),M(CL)",14(6),1277,2,1.1,34.4,79.8,0.6,2.6,0.1,6.82
